product_description,base_product_number,product_line,production_cost,product_image,product_type,color,gross_margin,product_line_code,product_name,introduction_date,title,product_type_code,product_size,brand,discontinued_date,product_brand_code,product_size_code,product_color_code,product_number
"Double stainless steel blade folding knife. Length: (closed) 6 cm, (blades) 5.5 cm and 3 cm. Blade thickness: 2 mm. Weight: 110 g.",74,Personal Accessories,11.43,P74PA3KV12.jpg,Knives,Red,0.28,993,Double Edge,1995-02-15 00:00:00.0,Double Edge,962,14.5 cm,Edge,,713,813,922,74110
"Multi-purpose pocketknife ruggedly constructed of stainless steel.  Includes 4 different blades, corkscrew, saw, scissors, pliers and more.",75,Personal Accessories,80.00,P75PA3KV12.jpg,Knives,Red,0.28,993,Edge Extreme,2000-10-26 00:00:00.0,Edge Extreme,962,14.5 cm,Extreme,,706,813,922,75110
Knife is 33 cm long with a 20 cm blade made of surgical stainless steel. The handle is laminated wood. The custom made sheath is black leather.,76,Personal Accessories,23.53,P76PA3KV12.jpg,Knives,Black,0.4,993,Bear Edge,1995-02-15 00:00:00.0,Bear Edge,962,33 cm,Edge,,713,817,902,76110
Features a 23 cm razor edge blade tempered from a special blend of stainless steel. The hollow handle has a compartment containing survival gear including a compass. Overall length: 36cm.,77,Personal Accessories,45.00,P77PA3KV12.jpg,Knives,Silver,0.5,993,Bear Survival Edge,2000-10-26 00:00:00.0,Bear Survival Edge,962,23 cm,Edge,,713,814,923,77110
"This 7 x 35 model is economical and performs well optically. Fully coated lenses, compact and  lightweight. Rubber covered for secure and comfortable grip. Soft carrying case included.",78,Personal Accessories,79.19,P78PA3BN13.jpg,Binoculars,Black,0.2,993,Seeker 35,1995-02-15 00:00:00.0,Seeker 35,963,Unspecified,Seeker,,714,800,902,78110
Rubber coated and ergonomically designed. The wide angle of view of 10 x 50 keeps more of your subject in view at high magnification. Soft carrying case included.,79,Personal Accessories,92.58,P78PA3BN13.jpg,Binoculars,Black,0.25,993,Seeker 50,1995-02-15 00:00:00.0,Seeker 50,963,Unspecified,Seeker,,714,800,902,79110
"These ergonomic binoculars are light-weight and easy to hold.  Strong construction make them impervious to water, fog and thermal shocks. Soft carrying case included.",80,Personal Accessories,94.12,P80PA3BN13.jpg,Binoculars,Black,0.4,993,Seeker Extreme,1997-03-05 00:00:00.0,Seeker Extreme,963,Unspecified,Extreme,,706,800,902,80110
"This 8 x 22 model is economical and performs well optically. Fully coated lenses, compact and  light-weight. Rubber covered for secure and comfortable grip. Soft carrying case included.",81,Personal Accessories,40.00,P81PA3BN13.jpg,Binoculars,Black,0.5,993,Seeker Mini,1997-03-05 00:00:00.0,Seeker Mini,963,Unspecified,Seeker,,714,800,902,81110
Traditional magnetic compass in a stainless steel casing.,82,Personal Accessories,20.00,P82PA3NV14.jpg,Navigation,Silver,0.33,993,Glacier Basic,1997-03-05 00:00:00.0,Glacier Basic,964,Unspecified,Glacier,,715,800,923,82110
Magnetic Compass has a large sighting mirror with v-notch allowing for quick acquisition and accurate bearings to distant landmarks.,83,Personal Accessories,56.25,P83PA3NV14.jpg,Navigation,Black,0.37,993,Glacier Deluxe,1997-03-05 00:00:00.0,Glacier Deluxe,964,Unspecified,Glacier,,715,800,902,83110
"Global Positioning System that is small, lightweight, and rugged. Incredibly easy to use, dedicated operation keys, and three user-friendly navigation screens.",84,Personal Accessories,78.55,P84PA3NV14.jpg,Navigation,Black,0.28,993,Glacier GPS,1997-03-05 00:00:00.0,Glacier GPS,964,Unspecified,Glacier,,715,800,902,84110
"Hand held GPS receiver with color display. Incredibly easy to use, three user-friendly navigation screens, and saves two routes. Up to 20 hours of battery life just on two AA batteries.",85,Personal Accessories,176.47,P85PA3NV14.jpg,Navigation,Black,0.4,993,Glacier GPS Extreme,1999-06-12 00:00:00.0,Glacier GPS Extreme,964,Unspecified,Extreme,,706,800,902,85110
"Contains no chemicals. Repels mosquitoes, black flies, biting midges, and fleas effectively. Safe for children and environmentally sound.  Active ingredient: Citronella 10%. 100 ml.",86,Outdoor Protection,2.00,P86OP4IR15.jpg,Insect Repellents,Clear,0.67,994,BugShield Natural,1995-02-15 00:00:00.0,BugShield Natural,965,100 ml,BugShield,,716,802,908,86110
"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Clear, odorless formula. 100 ml.",87,Outdoor Protection,2.00,P86OP4IR15.jpg,Insect Repellents,Clear,0.67,994,BugShield Spray,1995-02-15 00:00:00.0,BugShield Spray,965,100 ml,BugShield,,716,802,908,87110
"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Contains 8.75% active ingredient for a lighter application. Odorless cream. 100 ml.",88,Outdoor Protection,2.00,P86OP4IR15.jpg,Insect Repellents,Clear,0.7,994,BugShield Lotion Lite,1995-02-15 00:00:00.0,BugShield Lotion Lite,965,100 ml,BugShield,,716,802,908,88110
"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Odorless cream. 100 ml.",89,Outdoor Protection,2.50,P86OP4IR15.jpg,Insect Repellents,Clear,0.63,994,BugShield Lotion,1995-02-15 00:00:00.0,BugShield Lotion,965,100 ml,BugShield,,716,802,908,89110
"Highest amount of the active ingredient, 38%, for up to 10 hours of protection. Repels black flies, ticks, mosquitoes, deer flies and stable flies. Clear, odorless formula. 100 ml.",90,Outdoor Protection,2.50,P86OP4IR15.jpg,Insect Repellents,Clear,0.63,994,BugShield Extreme,1995-02-15 00:00:00.0,BugShield Extreme,965,100 ml,Extreme,,706,802,908,90110
"Sun Blocker is waterproof and lasts up to eight hours. It contains natural skin conditioners and moisturizers, as well as titanium dioxide for the ultimate level of protection.",91,Outdoor Protection,2.00,P91OP4SS16.jpg,Sunscreen,White,0.6,994,Sun Blocker,1995-02-15 00:00:00.0,Sun Blocker,966,330 ml,Sun,,717,804,925,91110
"Easy to apply to your nose, lips, ears and other sensitive areas. Provides long-lasting protection from sun, wind and water to keep your skin soft and moist.",92,Outdoor Protection,2.00,P91OP4SS16.jpg,Sunscreen,White,0.6,994,Sun Shelter Stick,1995-02-15 00:00:00.0,Sun Shelter Stick,966,250 ml,Sun,,717,803,925,92110
SPF 15 protects against all harmful rays.,93,Outdoor Protection,2.00,P91OP4SS16.jpg,Sunscreen,White,0.6,994,Sun Shelter 15,1995-02-15 00:00:00.0,Sun Shelter 15,966,330 ml,Sun,,717,804,925,93110
SPF 30 provides maximum protection and is long-lasting.,94,Outdoor Protection,2.00,P91OP4SS16.jpg,Sunscreen,White,0.6,994,Sun Shelter 30,1995-02-15 00:00:00.0,Sun Shelter 30,966,330 ml,Sun,,717,804,925,94110
"PABA free sunscreen, SPF 30, poison oak and ivy protectant, waterproof, insect repellent against fleas, mosquitoes, deer ticks, gnats.  Moisturizer contains Vitamin E and Lanolin.",95,Outdoor Protection,3.00,P91OP4SS16.jpg,Sunscreen,White,0.5,994,Sun Shield,1995-02-15 00:00:00.0,Sun Shield,966,250 ml,Sun,,717,803,925,95110
"A personal first aid kit is recommended for every outdoor hiker or camper. Contains basic wound management, advanced infectious control, and more. Size: 17 x 10 x 7 cm. Weight: 0.3 kg.",96,Outdoor Protection,16.43,P96OP4FA17.jpg,First Aid,White,0.28,994,Compact Relief Kit,1995-02-15 00:00:00.0,Compact Relief Kit,967,30-piece,Relief,,720,826,925,96110
"A complete medical kit suitable for families with children.  Contains cough syrup, oral rehydration salts, advanced wound management, and more.  Size: 22 x 12 x 7 cm. Weight: 0.6 kg.",97,Outdoor Protection,25.00,P96OP4FA17.jpg,First Aid,White,0.28,994,Deluxe Family Relief Kit,1997-03-05 00:00:00.0,Deluxe Family Relief Kit,967,60-piece,Relief,,720,827,925,97110
"Use the Calamine Relief for allergic skin reactions, helps combat itching and swelling.",98,Outdoor Protection,3.00,P98OP4FA17.jpg,First Aid,Clear,0.5,994,Calamine Relief,1995-02-15 00:00:00.0,Calamine Relief,967,250 ml,Relief,,720,803,908,98110
"Perfect for minor burns and sunburn, the aloe vera provides quick relief.",99,Outdoor Protection,2.00,P99OP4FA17.jpg,First Aid,Clear,0.6,994,Aloe Relief,1995-02-15 00:00:00.0,Aloe Relief,967,330 ml,Relief,,720,804,908,99110
The Insect Bite Relief helps the itching and swelling caused by most insect bites.,100,Outdoor Protection,3.00,P100OP4FA17.jpg,First Aid,Clear,0.5,994,Insect Bite Relief,1995-02-15 00:00:00.0,Insect Bite Relief,967,250 ml,Relief,,720,803,908,100110
Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge.,101,Golf Equipment,305.54,P101GE5IR18.jpg,Irons,Silver,0.43,995,Hailstorm Steel Irons,2003-12-15 00:00:00.0,Hailstorm Steel Irons,968,Men's,Hailstorm,,719,851,923,101110
Made entirely of pure titanium. The ultimate in golf club technology. Lightweight graphite shaft and light overall weight. Includes 3 iron to Pitching Wedge.,102,Golf Equipment,380.95,P102GE5IR18.jpg,Irons,Silver,0.51,995,Hailstorm Titanium Irons,2003-12-10 00:00:00.0,Hailstorm Titanium Irons,968,Men's,Hailstorm,,719,851,923,102110
Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge.,103,Golf Equipment,277.76,P101GE5IR18.jpg,Irons,Silver,0.43,995,Lady Hailstorm Steel Irons,2003-12-10 00:00:00.0,Lady Hailstorm Steel Irons,968,Women's,Hailstorm,,719,852,923,103110
Made entirely of pure titanium. A wider sole and loft system to help you get the ball airborne with less effort. Includes 3 iron to Pitching Wedge.,104,Golf Equipment,333.32,P102GE5IR18.jpg,Irons,Silver,0.51,995,Lady Hailstorm Titanium Irons,2003-12-18 00:00:00.0,Lady Hailstorm Titanium Irons,968,Women's,Hailstorm,,719,852,923,104110
"Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel.  Includes 3 Wood, 5 Wood and 12 degree driver.",105,Golf Equipment,555.90,P105GE5WD19.jpg,Woods,Bronze,0.55,995,Hailstorm Titanium Woods Set,2003-12-27 00:00:00.0,Hailstorm Titanium Woods Set,969,Men's,Hailstorm,,719,851,905,105110
"These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver.",106,Golf Equipment,536.09,P106GE5WD19.jpg,Woods,Mahogany,0.43,995,Hailstorm Steel Woods Set,2003-12-05 00:00:00.0,Hailstorm Steel Woods Set,969,Men's,Hailstorm,,719,851,916,106110
"Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel. Includes 3 Wood, 5 Wood and 12 degree driver.",107,Golf Equipment,509.07,P105GE5WD19.jpg,Woods,Bronze,0.55,995,Lady Hailstorm Titanium Woods Set,2004-01-13 00:00:00.0,Lady Hailstorm Titanium Woods Set,969,Women's,Hailstorm,,719,852,905,107110
"These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver.",108,Golf Equipment,472.22,P106GE5WD19.jpg,Woods,Mahogany,0.43,995,Lady Hailstorm Steel Woods Set,2003-12-27 00:00:00.0,Lady Hailstorm Steel Woods Set,969,Women's,Hailstorm,,719,852,916,108110
High quality putter is cast  from a soft yellow brass alloy to give the putter its uniquely soft feel at impact.,109,Golf Equipment,35.00,P109GE5PT20.jpg,Putters,Brass,0.43,995,Course Pro Putter,2003-12-10 00:00:00.0,Course Pro Putter,970,One-size,Course Pro,,718,853,904,109110
This premium putter has copper mixed with lightweight aluminum for a smooth touch.,110,Golf Equipment,60.00,P110GE5PT20.jpg,Putters,Black,0.5,995,Blue Steel Putter,2003-12-10 00:00:00.0,Blue Steel Putter,970,One-size,Blue Steel,,703,853,902,110110
Putter head is composed from a single piece of the softest carbon steel for optimum feel.,111,Golf Equipment,81.80,P111GE5PT20.jpg,Putters,Bronze,0.55,995,Blue Steel Max Putter,2003-12-15 00:00:00.0,Blue Steel Max Putter,970,One-size,Blue Steel,,703,853,905,111110
Set includes two premium golf ball and an assortment of wooden golf tees.,112,Golf Equipment,6.00,P112GE5GA21.jpg,Golf Accessories,Multicolored,0.33,995,Course Pro Golf and Tee Set,2004-01-10 00:00:00.0,Course Pro Golf and Tee Set,971,Unspecified,Course Pro,,718,800,917,112110
Large red and white patterned golf umbrella.,113,Golf Equipment,6.00,P113GE5GA21.jpg,Golf Accessories,Red,0.5,995,Course Pro Umbrella,2004-01-15 00:00:00.0,Course Pro Umbrella,971,Large,Course Pro,,718,840,922,113110
High quality golf bag that includes carrying strap and large front pocket.,114,Golf Equipment,80.00,P114GE5GA21.jpg,Golf Accessories,Grey,0.6,995,Course Pro Golf Bag,2003-12-15 00:00:00.0,Course Pro Golf Bag,971,Unspecified,Course Pro,,718,800,913,114110
Durable nylon constructed gloves with stitched leather palm.,115,Golf Equipment,5.00,P115GE5GA21.jpg,Golf Accessories,Red,0.5,995,Course Pro Gloves,2003-12-27 00:00:00.0,Course Pro Gloves,971,Medium,Course Pro,,718,839,922,115110
The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.,122,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Blue,0.0,993,Bella,2006-01-01 00:00:00.0,Bella,961,Junior,Antoni,,753,854,903,122110
The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.,122,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Pink,0.0,993,Bella,2003-01-01 00:00:00.0,Bella,961,Women's,Antoni,2006-07-31 00:00:00.0,753,852,919,122120
The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.,122,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Silver,0.0,993,Bella,2005-01-01 00:00:00.0,Bella,961,Junior,Antoni,,753,854,923,122130
The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.,122,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,White,0.0,993,Bella,2006-04-01 00:00:00.0,Bella,961,Junior,Antoni,,753,854,925,122140
The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.,122,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Yellow,0.0,993,Bella,2007-06-01 00:00:00.0,Bella,961,Junior,Antoni,,753,854,926,122150
Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.,123,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Green,0.0,993,Capri,2004-10-01 00:00:00.0,Capri,961,Women's,Antoni,,753,852,912,123110
Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.,123,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Orange,0.0,993,Capri,2003-01-01 00:00:00.0,Capri,961,Women's,Antoni,2006-02-28 00:00:00.0,753,852,918,123120
Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.,123,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Pink,0.0,993,Capri,2007-04-01 00:00:00.0,Capri,961,Women's,Antoni,,753,852,919,123130
Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.,123,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Red,0.0,993,Capri,2005-10-01 00:00:00.0,Capri,961,Women's,Antoni,,753,852,922,123140
Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.,123,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,White,0.0,993,Capri,2006-10-01 00:00:00.0,Capri,961,Women's,Antoni,,753,852,925,123150
Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.,123,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Yellow,0.0,993,Capri,2003-01-01 00:00:00.0,Capri,961,Women's,Antoni,2005-06-30 00:00:00.0,753,852,926,123160
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Brown,0.0,993,Cat Eye,2003-01-01 00:00:00.0,Cat Eye,961,Women's,Trakker,,757,852,906,124110
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Green,0.0,993,Cat Eye,2004-10-01 00:00:00.0,Cat Eye,961,Women's,Trakker,,757,852,912,124120
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Orange,0.0,993,Cat Eye,2003-01-01 00:00:00.0,Cat Eye,961,Women's,Trakker,2006-02-28 00:00:00.0,757,852,918,124130
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Pink,0.0,993,Cat Eye,2003-01-01 00:00:00.0,Cat Eye,961,Women's,Trakker,2006-10-31 00:00:00.0,757,852,919,124140
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Red,0.0,993,Cat Eye,2006-04-01 00:00:00.0,Cat Eye,961,Women's,Trakker,,757,852,922,124150
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,White,0.0,993,Cat Eye,2006-10-01 00:00:00.0,Cat Eye,961,Women's,Trakker,,757,852,925,124160
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Yellow,0.0,993,Cat Eye,2005-09-01 00:00:00.0,Cat Eye,961,Women's,Trakker,,757,852,926,124170
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Camouflage,0.0,993,Cat Eye,2006-10-01 00:00:00.0,Cat Eye,961,Women's,Trakker,,757,852,927,124180
"Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.",124,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Black,0.0,993,Cat Eye,2003-01-01 00:00:00.0,Cat Eye,961,Women's,Trakker,,757,852,902,124190
"The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.",125,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Black,0.0,993,Venue,2003-01-01 00:00:00.0,Venue,960,One-size,Relax,,756,853,902,125110
"The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.",125,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Green,0.0,993,Venue,2003-01-01 00:00:00.0,Venue,960,One-size,Relax,2007-03-31 00:00:00.0,756,853,912,125120
"The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.",125,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Orange,0.0,993,Venue,2007-07-01 00:00:00.0,Venue,960,One-size,Relax,,756,853,918,125130
"The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.",125,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Pink,0.0,993,Venue,2003-01-01 00:00:00.0,Venue,960,One-size,Relax,2005-12-31 00:00:00.0,756,853,919,125140
"The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.",125,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,White,0.0,993,Venue,2006-10-01 00:00:00.0,Venue,960,One-size,Relax,,756,853,925,125160
"The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.",125,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Yellow,0.0,993,Venue,2003-01-01 00:00:00.0,Venue,960,One-size,Relax,2004-11-30 00:00:00.0,756,853,926,125170
Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.,126,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Blue,0.0,993,Dante,2003-01-01 00:00:00.0,Dante,961,Women's,Antoni,2007-06-30 00:00:00.0,753,852,903,126110
Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.,126,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Orange,0.0,993,Dante,2005-06-01 00:00:00.0,Dante,961,Women's,Antoni,,753,852,918,126120
Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.,126,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Pink,0.0,993,Dante,2003-01-01 00:00:00.0,Dante,961,Women's,Antoni,2006-10-31 00:00:00.0,753,852,919,126130
Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.,126,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Red,0.0,993,Dante,2003-01-01 00:00:00.0,Dante,961,Women's,Antoni,,753,852,922,126140
Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.,126,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Silver,0.0,993,Dante,2006-06-01 00:00:00.0,Dante,961,Women's,Antoni,,753,852,923,126150
Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.,127,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Black,0.0,993,Fairway,2003-01-01 00:00:00.0,Fairway,961,Men's,Alpha,,752,851,902,127110
Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.,127,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Blue,0.0,993,Fairway,2006-01-01 00:00:00.0,Fairway,961,Men's,Alpha,,752,851,903,127120
Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.,127,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Brown,0.0,993,Fairway,2003-01-01 00:00:00.0,Fairway,961,Men's,Alpha,,752,851,906,127130
Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.,127,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Green,0.0,993,Fairway,2006-08-01 00:00:00.0,Fairway,961,Men's,Alpha,,752,851,912,127140
Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.,127,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Orange,0.0,993,Fairway,2003-01-01 00:00:00.0,Fairway,961,Men's,Alpha,2005-09-30 00:00:00.0,752,851,918,127150
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Green,0.0,993,Inferno,2006-08-01 00:00:00.0,Inferno,961,Women's,Epoch,,754,852,912,128110
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Orange,0.0,993,Inferno,2007-06-01 00:00:00.0,Inferno,961,Women's,Epoch,,754,852,918,128120
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Red,0.0,993,Inferno,2006-04-01 00:00:00.0,Inferno,961,Women's,Epoch,,754,852,922,128130
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Black,0.0,993,Inferno,2003-01-01 00:00:00.0,Inferno,961,Men's,Epoch,,754,851,902,128140
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Blue,0.0,993,Inferno,2003-01-01 00:00:00.0,Inferno,961,Men's,Epoch,2007-06-30 00:00:00.0,754,851,903,128150
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Green,0.0,993,Inferno,2007-01-01 00:00:00.0,Inferno,961,Men's,Epoch,,754,851,912,128160
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Red,0.0,993,Inferno,2007-04-01 00:00:00.0,Inferno,961,Men's,Epoch,,754,851,922,128170
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Silver,0.0,993,Inferno,2006-08-01 00:00:00.0,Inferno,961,Men's,Epoch,,754,851,923,128180
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Yellow,0.0,993,Inferno,2003-01-01 00:00:00.0,Inferno,961,Men's,Epoch,2005-10-31 00:00:00.0,754,851,926,128190
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Camouflage,0.0,993,Inferno,2005-10-01 00:00:00.0,Inferno,961,Men's,Epoch,,754,851,927,128200
"Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.",128,Personal Accessories,0.00,P70PA3EW11.jpg,Eyewear,Black,0.0,993,Inferno,2005-01-01 00:00:00.0,Inferno,961,Women's,Epoch,,754,852,902,128210
The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.,129,Personal Accessories,0.00,P63PA3WT10.jpg,Watches,Black,0.0,993,Infinity,2004-10-01 00:00:00.0,Infinity,960,Women's,Epoch,,754,852,902,129110
The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.,129,Personal Accessories,0.00,P63PA3WT10.jpg,Watches,Blue,0.0,993,Infinity,2006-01-01 00:00:00.0,Infinity,960,Women's,Epoch,,754,852,903,129120
The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.,129,Personal Accessories,0.00,P63PA3WT10.jpg,Watches,Red,0.0,993,Infinity,2004-02-01 00:00:00.0,Infinity,960,Women's,Epoch,,754,852,922,129130
The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.,129,Personal Accessories,0.00,P63PA3WT10.jpg,Watches,Yellow,0.0,993,Infinity,2007-04-01 00:00:00.0,Infinity,960,Men's,Epoch,,754,851,926,129140
The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.,129,Personal Accessories,0.00,P63PA3WT10.jpg,Watches,Black,0.0,993,Infinity,2005-01-01 00:00:00.0,Infinity,960,Men's,Epoch,,754,851,902,129150
The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.,129,Personal Accessories,0.00,P63PA3WT10.jpg,Watches,Yellow,0.0,993,Infinity,2003-01-01 00:00:00.0,Infinity,960,Men's,Epoch,2005-12-31 00:00:00.0,754,851,926,129160
The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.,129,Personal Accessories,0.00,P63PA3WT10.jpg,Watches,Blue,0.0,993,Infinity,2006-01-01 00:00:00.0,Infinity,960,Men's,Epoch,,754,851,903,129170
The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.,129,Personal Accessories,0.00,P63PA3WT10.jpg,Watches,Red,0.0,993,Infinity,2003-01-01 00:00:00.0,Infinity,960,Men's,Epoch,,754,851,922,129180
The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.,130,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Black,0.0,993,Lux,2003-01-01 00:00:00.0,Lux,960,One-size,Xray,,758,853,902,130110
The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.,130,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Brown,0.0,993,Lux,2006-10-01 00:00:00.0,Lux,960,One-size,Xray,,758,853,906,130120
